"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 0.5"
"04/01/2018 09:52:43:337 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"1","0.5","10","150","1","62","34.3448275862069","47.310810810810814","56.666666666666664","122711","519","16","6","7","3"
"2","0.5","10","150","1.5","59","35.57142857142857","46.270270270270274","53.78260869565217","152581.5","942","21","1","7","13"
"3","0.5","10","150","2","64","36.12903225806452","48.7027027027027","58.76744186046512","152659","976","21","1","7","13"
"1","0.5","10","150","1","63","35.645161290322584","47.91891891891892","57.76744186046512","122724.5","523","16","6","7","3"
"3","0.5","10","150","2","65","36.12903225806452","49.28378378378378","59.76744186046512","152667.5","976","21","1","7","13"
"2","0.5","10","150","1.5","60","35.57142857142857","46.891891891891895","54.78260869565217","152590","951","21","1","7","13"
"1","0.5","10","150","1","64","36.5","48.5","58.642857142857146","122738","524","16","6","7","3"
"3","0.5","10","150","2","66","36.12903225806452","49.86486486486486","60.76744186046512","152676","977","21","1","7","13"
"2","0.5","10","150","1.5","61","35.57142857142857","47.513513513513516","55.78260869565217","152598.5","957","21","1","7","13"
"1","0.5","10","150","1","65","36.5","49.067567567567565","59.642857142857146","122751.5","524","16","6","7","3"
"3","0.5","10","150","2","67","36.12903225806452","50.445945945945944","61.76744186046512","158685.5","1019","22","1","7","13"
"2","0.5","10","150","1.5","62","35.57142857142857","48.13513513513514","56.78260869565217","152607","957","21","1","7","13"
"1","0.5","10","150","1","66","37.36363636363637","49.63513513513514","60.51219512195122","122765","524","16","6","7","3"
"3","0.5","10","150","2","68","37.09375","51.027027027027025","62.642857142857146","158695","1040","22","2","7","13"
"2","0.5","10","150","1.5","63","37.16129032258065","48.75675675675676","58.116279069767444","152615.5","961","21","1","7","13"
"1","0.5","10","150","1","67","37.36363636363637","50.189189189189186","61.51219512195122","122778.5","524","16","6","7","3"
"3","0.5","10","150","2","69","37.09375","51.5945945945946","63.642857142857146","158704.5","1040","22","2","7","13"
"1","0.5","10","150","1","68","37.36363636363637","50.74324324324324","62.51219512195122","122792","524","16","6","7","3"
"2","0.5","10","150","1.5","64","37.96875","49.33783783783784","59","158625","1004","22","1","7","13"
"3","0.5","10","150","2","70","38.97142857142857","52.16216216216216","65","158714","1055","22","2","7","13"
"1","0.5","10","150","1","69","38.68571428571428","51.2972972972973","63.61538461538461","122805.5","524","16","6","7","3"
"2","0.5","10","150","1.5","65","37.96875","49.9054054054054","60","158634.5","1025","22","2","7","13"
"3","0.5","10","150","2","71","40.24324324324324","52.689189189189186","66.13513513513513","158723.5","1065","22","2","7","13"
"2","0.5","10","150","1.5","66","37.96875","50.472972972972975","61","158644","1025","22","2","7","13"
"1","0.5","10","150","1","70","39.111111111111114","51.82432432432432","64.86842105263158","122819","549","16","6","7","3"
"3","0.5","10","150","2","72","40.24324324324324","53.189189189189186","67.13513513513513","158733","1065","22","2","7","13"
"2","0.5","10","150","1.5","67","37.96875","51.04054054054054","62","158653.5","1025","22","2","7","13"
"1","0.5","10","150","1","71","39.54054054054054","52.33783783783784","66.13513513513513","122832.5","549","16","6","7","3"
"3","0.5","10","150","2","73","40.24324324324324","53.689189189189186","68.13513513513513","158742.5","1070","22","2","7","13"
"2","0.5","10","150","1.5","68","38.84848484848485","51.608108108108105","62.8780487804878","158663","1025","22","2","7","13"
"1","0.5","10","150","1","72","39.54054054054054","52.83783783783784","67.13513513513513","122846","549","16","6","7","3"
"3","0.5","10","150","2","74","40.24324324324324","54.189189189189186","69.13513513513513","158752","1070","22","2","7","13"
"2","0.5","10","150","1.5","69","38.84848484848485","52.16216216216216","63.8780487804878","158672.5","1025","22","2","7","13"
"1","0.5","10","150","1","73","39.54054054054054","53.33783783783784","68.13513513513513","122859.5","554","16","6","7","3"
"3","0.5","10","150","2","75","40.24324324324324","54.689189189189186","70.13513513513513","158761.5","1070","22","2","7","13"
"2","0.5","10","150","1.5","70","40.52777777777778","52.71621621621622","65.26315789473684","158682","1037","22","2","7","13"
"3","0.5","10","150","2","76","41.1578947368421","55.189189189189186","71","158771","1070","22","2","7","13"
"1","0.5","10","150","1","74","39.63157894736842","53.83783783783784","69.83333333333333","122873","556","16","6","7","3"
"2","0.5","10","150","1.5","71","41.68421052631579","53.229729729729726","66.41666666666667","158691.5","1045","22","2","7","13"
"3","0.5","10","150","2","77","41.1578947368421","55.67567567567568","72","158780.5","1070","22","2","7","13"
"1","0.5","10","150","1","75","39.63157894736842","54.32432432432432","70.83333333333333","122886.5","556","16","6","7","3"
"2","0.5","10","150","1.5","72","41.68421052631579","53.71621621621622","67.41666666666667","158701","1045","22","2","7","13"
"3","0.5","10","150","2","78","41.1578947368421","56.16216216216216","73","158790","1070","22","2","7","13"
"1","0.5","10","150","1","76","40.53846153846154","54.810810810810814","71.71428571428571","122900","556","16","6","7","3"
"3","0.5","10","150","2","79","41.1578947368421","56.648648648648646","74","158799.5","1070","22","2","7","13"
"2","0.5","10","150","1.5","73","41.68421052631579","54.2027027027027","68.41666666666667","158710.5","1049","22","2","7","13"
"1","0.5","10","150","1","77","40.53846153846154","55.28378378378378","72.71428571428571","122913.5","556","16","6","7","3"
"3","0.5","10","150","2","80","41.1578947368421","57.13513513513514","75","158809","1082","22","2","7","13"
"2","0.5","10","150","1.5","74","41.68421052631579","54.689189189189186","69.41666666666667","158720","1049","22","2","7","13"
"1","0.5","10","150","1","78","40.53846153846154","55.75675675675676","73.71428571428571","122927","556","16","6","7","3"
"3","0.5","10","150","2","81","41.1578947368421","57.62162162162162","76","158817.5","1111","22","2","7","13"
"2","0.5","10","150","1.5","75","41.68421052631579","55.17567567567568","70.41666666666667","158729.5","1049","22","2","7","13"
"1","0.5","10","150","1","79","40.53846153846154","56.229729729729726","74.71428571428571","122940.5","556","16","6","7","3"
"3","0.5","10","150","2","82","41.1578947368421","58.108108108108105","77","158826","1111","22","1","7","14"
"2","0.5","10","150","1.5","76","42.53846153846154","55.66216216216216","71.28571428571429","158739","1049","22","2","7","13"
"1","0.5","10","150","1","80","40.53846153846154","56.7027027027027","75.71428571428571","122954","581","16","6","7","3"
"3","0.5","10","150","2","83","41.1578947368421","58.5945945945946","78","158834.5","1115","22","1","7","14"
"2","0.5","10","150","1.5","77","42.53846153846154","56.13513513513514","72.28571428571429","158748.5","1049","22","2","7","13"
"1","0.5","10","150","1","81","40.53846153846154","57.17567567567568","76.71428571428571","122967.5","581","16","6","7","3"
"2","0.5","10","150","1.5","78","42.53846153846154","56.608108108108105","73.28571428571429","158758","1049","22","2","7","13"
"3","0.5","10","150","2","84","41.1578947368421","59.08108108108108","79","158843","1116","22","1","7","14"
"1","0.5","10","150","1","82","40.53846153846154","57.648648648648646","77.71428571428571","122981","581","16","6","7","3"
"3","0.5","10","150","2","85","41.1578947368421","59.567567567567565","80","158851.5","1116","22","1","7","14"
"2","0.5","10","150","1.5","79","42.53846153846154","57.08108108108108","74.28571428571429","158767.5","1049","22","2","7","13"
"3","0.5","10","150","2","86","41.1578947368421","60.054054054054056","81","158860","1116","22","1","7","14"
"2","0.5","10","150","1.5","80","42.53846153846154","57.554054054054056","75.28571428571429","158776","1079","22","2","7","13"
"1","0.5","10","150","1","83","40.53846153846154","58.12162162162162","78.71428571428571","122994.5","587","16","6","7","3"
"3","0.5","10","150","2","87","43.4","60.54054054054054","81.70588235294117","158868.5","1116","22","1","7","14"
"1","0.5","10","150","1","84","41.6","58.5945945945946","79.58823529411765","123008","587","16","6","7","3"
